CA ,VENTURA ,97070 ,22250 ,22.92 ,408.73 ,330.78 ,739.51 ,05660 ,,
CA ,YOLO ,20112 ,7550 ,37.54 ,361.59 ,292.63 ,654.22 ,05670 ,,
CA ,YUBA ,8805 ,425 ,4.83 ,380.05 ,307.57 ,687.62 ,05680 ,,
CA ,UNDER-11 ,  ,7 ,  ,. ,. ,. ,05xxx ,,
CO ,ADAMS ,39825 ,16947 ,42.55 ,371.28 ,300.47 ,671.75 ,06000 ,,
CO ,ALAMOSA ,1967 ,171 ,8.69 ,327.15 ,264.76 ,591.91 ,06010 ,,
CO ,ARAPAHOE ,51901 ,18286 ,35.23 ,361.59 ,292.63 ,654.22 ,06020 ,,
CO ,ARCHULETA ,1807 ,150 ,8.30 ,327.15 ,264.76 ,591.91 ,06030 ,,
CO ,BACA ,1044 ,  ,  ,327.15 ,264.76 ,591.91 ,06040 ,,
CO ,BENT ,917 ,13 ,1.42 ,327.15 ,264.76 ,591.91 ,06050 ,,
CO ,BOULDER ,33183 ,7244 ,21.83 ,361.59 ,292.63 ,654.22 ,06060 ,,
CO ,CHAFFEE ,3374 ,232 ,6.88 ,327.15 ,264.76 ,591.91 ,06070 ,,
CO ,CHEYENNE ,350 ,  ,  ,404.96 ,327.74 ,732.7 ,06080 ,,
CO ,CLEAR CREEK ,626 ,236 ,37.70 ,361.59 ,292.63 ,654.22 ,06090 ,,
CO ,CONEJOS ,1525 ,204 ,13.38 ,327.15 ,264.76 ,591.91 ,06100 ,,
CO ,COSTILLA ,875 ,75 ,8.57 ,327.15 ,264.76 ,591.91 ,06110 ,,
CO ,CROWLEY ,643 ,21 ,3.27 ,327.15 ,264.76 ,591.91 ,06120 ,,
CO ,CUSTER ,801 ,42 ,5.24 ,327.15 ,264.76 ,591.91 ,06130 ,,
CO ,DELTA ,6462 ,1605 ,24.84 ,349.63 ,282.95 ,632.58 ,06140 ,,
CO ,DENVER ,71545 ,24981 ,34.92 ,361.59 ,292.63 ,654.22 ,06150 ,,
CO ,DOLORES ,396 ,19 ,4.80 ,327.15 ,264.76 ,591.91 ,06160 ,,
CO ,DOUGLAS ,8161 ,4166 ,51.05 ,361.59 ,292.63 ,654.22 ,06170 ,,
